samplename,batch,fastq
24-1-1D18_S1,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-1-1D18_S1.fastq.gz
24-1-2D18_S2,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-1-2D18_S2.fastq.gz
24-1-3D18_S3,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-1-3D18_S3.fastq.gz
24-1-4D18_S4,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-1-4D18_S4.fastq.gz
24-2-1D18_S5,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-2-1D18_S5.fastq.gz
24-2-2D18_S6,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-2-2D18_S6.fastq.gz
24-2-3D18_S7,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-2-3D18_S7.fastq.gz
24-2-4D18_S8,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-2-4D18_S8.fastq.gz
24-3-1D17_S9,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-3-1D17_S9.fastq.gz
24-3-2D17_S1,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-3-2D17_S10.fastq.gz
24-4-1D17_S11,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-4-1D17_S11.fastq.gz
24-4-2D17_S12,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-4-2D17_S12.fastq.gz
24-5-1D21_S13,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-5-1D21_S13.fastq.gz
24-6-1D21_S14,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/24-6-1D21_S14.fastq.gz
DOLCETTO_S16,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/DOLCETTO_S16.fastq.gz
XIN_S15,first101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/first101/combined/XIN_S15.fastq.gz
24-1-1D18_S1,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-1-1D18_S1.fastq.gz
24-1-2D18_S2,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-1-2D18_S2.fastq.gz
24-1-3D18_S3,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-1-3D18_S3.fastq.gz
24-1-4D18_S4,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-1-4D18_S4.fastq.gz
24-2-1D18_S5,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-2-1D18_S5.fastq.gz
24-2-2D18_S6,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-2-2D18_S6.fastq.gz
24-2-3D18_S7,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-2-3D18_S7.fastq.gz
24-2-4D18_S8,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-2-4D18_S8.fastq.gz
24-3-1D17_S9,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-3-1D17_S9.fastq.gz
24-3-2D17_S10,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-3-2D17_S10.fastq.gz
24-4-1D17_S11,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-4-1D17_S11.fastq.gz
24-4-2D17_S12,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-4-2D17_S12.fastq.gz
24-5-1D21_S13,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-5-1D21_S13.fastq.gz
24-6-1D21_S14,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/24-6-1D21_S14.fastq.gz
DOLCETTO_S16,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/DOLCETTO_S16.fastq.gz
XIN_S15,repeat101,/lustre/scratch115/projects/interval_wgs/nextflow/dolcetto_xin/repeat101/combined/XIN_S15.fastq.gz
