samplename,batch,start_trim,fastq
24-1-1D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-1-1D18_S1.fastq.gz
24-1-2D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-1-2D18_S2.fastq.gz
24-1-3D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-1-3D18_S3.fastq.gz
24-1-4D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-1-4D18_S4.fastq.gz
24-2-1D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-2-1D18_S5.fastq.gz
24-2-2D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-2-2D18_S6.fastq.gz
24-2-3D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-2-3D18_S7.fastq.gz
24-2-4D18,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-2-4D18_S8.fastq.gz
24-3-1D17,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-3-1D17_S9.fastq.gz
24-3-2D17,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-3-2D17_S10.fastq.gz
24-4-1D17,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-4-1D17_S11.fastq.gz
24-4-2D17,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-4-2D17_S12.fastq.gz
24-5-1D21,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-5-1D21_S13.fastq.gz
24-6-1D21,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_24-6-1D21_S14.fastq.gz
DOLCETTO,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_DOLCETTO_S16.fastq.gz
XIN,first101,2,/lustre/scratch114/projects/gains_team282/single_cell/first101/combined/first101_XIN_S15.fastq.gz
24-1-1D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-1-1D18_S1.fastq.gz
24-1-2D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-1-2D18_S2.fastq.gz
24-1-3D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-1-3D18_S3.fastq.gz
24-1-4D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-1-4D18_S4.fastq.gz
24-2-1D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-2-1D18_S5.fastq.gz
24-2-2D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-2-2D18_S6.fastq.gz
24-2-3D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-2-3D18_S7.fastq.gz
24-2-4D18,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-2-4D18_S8.fastq.gz
24-3-1D17,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-3-1D17_S9.fastq.gz
24-3-2D17,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-3-2D17_S10.fastq.gz
24-4-1D17,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-4-1D17_S11.fastq.gz
24-4-2D17,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-4-2D17_S12.fastq.gz
24-5-1D21,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-5-1D21_S13.fastq.gz
24-6-1D21,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_24-6-1D21_S14.fastq.gz
DOLCETTO,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_DOLCETTO_S16.fastq.gz
XIN,repeat101,2,/lustre/scratch114/projects/gains_team282/single_cell/repeat101/combined/repeat101_XIN_S15.fastq.gz
